Time (s),Sigma_x / E (-),Sigma_y / E (-),Sigma_z / E (-),Tau_xyz (MPa),Sigma_eq (MPa),Lambda (-)
0.24534534534534536,0.966339119935538,0.9643877760088869,0.9663377366370471,-145.77259458289632,464.70504375749215,1.7716694684605419
0.24544544544544544,0.9652913204574046,0.9633397085862803,0.9652899367810893,-145.79253183453355,464.76876342350596,1.772668812436751
0.24554554554554553,0.9642422017101226,0.9622903216674052,0.9642408176556139,-145.8124859641649,464.83253707632934,1.773669414749672
0.24564564564564564,0.9631917603674393,0.9612396119254686,0.9631903759343664,-145.83245701189404,464.89636484432873,1.7746712785719512
0.24574574574574576,0.9621399930905058,0.9601875760210807,0.9621386082784982,-145.85244501795486,464.96024685616635,1.775674407088247
0.24584584584584585,0.9610868965278151,0.9591342106021907,0.9610855113365007,-145.87245002273806,465.0241832410594,1.7766788034952934
0.24594594594594593,0.9600324673151354,0.9580795123040219,0.9600310817441419,-145.89247206677302,465.0881741285872,1.7776844710019604
0.24604604604604605,0.9589767020754485,0.9570234777490074,0.9589753161244017,-145.91251119072902,465.15221964902827,1.7786914128293154
0.24614614614614616,0.9579195974188824,0.9559661035467273,0.957918211087408,-145.93256743542622,465.2163199327708,1.7796996322106846
0.24624624624624625,0.9568611499426485,0.9549073862938414,0.9568597632303714,-145.95264084182944,465.28047511089073,1.780709132391715
0.24634634634634633,0.9558013562309736,0.9538473225740225,0.9557999691375172,-145.97273145107428,465.3446853150258,1.7817199166304387
0.24644644644644645,0.9547402128550347,0.9527859089578923,0.9547388253800214,-145.99283930441698,465.40895067712876,1.7827319881973354
0.24654654654654656,0.9536777163728923,0.951723142002955,0.9536763285159442,-146.01296444325928,465.47327132955127,1.7837453503753944
0.24664664664664665,0.9526138633294244,0.9506590182535286,0.9526124750901627,-146.03310690917226,465.53764740537656,1.7847600064601798
0.24674674674674674,0.9515486502562579,0.949593534240678,0.9515472616343019,-146.05326674386947,465.6020790380361,1.7857759597598957
0.24684684684684685,0.9504820736717001,0.9485266864821478,0.950480684666669,-146.0734439892321,465.66656636146143,1.7867932135954487
0.24694694694694694,0.9494141300806723,0.9474584714822936,0.9494127406921843,-146.0936386872655,465.73110951004435,1.7878117713005144
0.24704704704704705,0.9483448159746397,0.9463888857320131,0.9483434262023125,-146.11385088013967,465.7957086187093,1.7888316362216032
0.24714714714714714,0.9472741278315439,0.9453179257086778,0.9472727376749934,-146.1340806101862,465.86036382287915,1.7898528117181252
0.24724724724724725,0.9462020621157303,0.944245587876063,0.9462006715745724,-146.1543279198793,465.92507525824203,1.7908753011624574
0.24734734734734734,0.9451286152778817,0.9431718686842758,0.9451272243517307,-146.17459285186172,465.9898430614765,1.7918991079400102
0.24744744744744746,0.9440537837549452,0.9420967645696882,0.944052392443414,-146.1948754489291,466.0546673692908,1.792924235449295
0.24754754754754754,0.9429775639700616,0.9410202719548629,0.9429761722727633,-146.21517575402214,466.11954831913175,1.7939506871019906
0.24764764764764766,0.9418999523324947,0.9399423872484839,0.9418985602490408,-146.23549381024344,466.1844860488455,1.794978466323014
0.24774774774774774,0.9408209452375597,0.9388631068452835,0.9408195527675607,-146.25582966087285,466.2494806969091,1.7960075765505856
0.24784784784784786,0.9397405390665492,0.9377824271259705,0.9397391462096147,-146.2761833493346,466.31453240216433,1.797038021236301
0.24794794794794794,0.9386587301866622,0.9367003444571574,0.9386573369424014,-146.2965549192028,466.3796413040203,1.7980698038451988
0.24804804804804803,0.9375755149509303,0.9356168551912865,0.9375741213189505,-146.31694441422468,466.44480754246797,1.7991029278558313
0.24814814814814815,0.9364908896981422,0.9345319556665559,0.9364894956780505,-146.33735187830777,466.5100312579501,1.800137396760335
0.24824824824824826,0.9354048507527726,0.9334456422068473,0.935403456344175,-146.35777735552037,466.57531259140404,1.8011732140645
0.24834834834834835,0.9343173944249056,0.9323579111216497,0.9343159996274067,-146.37822089009416,466.6406516843443,1.802210383287843
0.24844844844844843,0.9332285170101587,0.9312687587059825,0.933227121823363,-146.3986825264333,466.70604867885356,1.8032489079636784
0.24854854854854855,0.9321382147896091,0.9301781812403234,0.9321368192131189,-146.41916230909865,466.77150371741607,1.8042887916391905
0.24864864864864866,0.9310464840297156,0.9290861749905299,0.9310450880631334,-146.43966028281832,466.8370169430516,1.8053300378755057
0.24874874874874875,0.9299533209822444,0.927992736207763,0.9299519246251706,-146.46017649247574,466.9025884994876,1.8063726502477662
0.24884884884884884,0.9288587218841884,0.9268978611284096,0.9288573251362233,-146.48071098315356,466.9682185308822,1.8074166323452037
0.24894894894894895,0.9277626829576919,0.9258015459740055,0.9277612858184343,-146.5012638000622,467.03390718178844,1.8084619877712143
0.24904904904904906,0.9266652004099724,0.9247037869511571,0.9266638028790205,-146.52183498861095,467.0996545975469,1.8095087201434308
0.24914914914914915,0.9255662704332408,0.9236045802514621,0.9255648725101915,-146.54242459435935,467.16546092384107,1.8105568330937996
0.24924924924924924,0.9244658892046229,0.92250392205143,0.924464490889072,-146.56303266307503,467.23132630716304,1.8116063302686563
0.24934934934934935,0.9233640528860781,0.9214018085124034,0.9233626541776209,-146.58365924062934,467.29725089415336,1.8126572153288019
0.24944944944944944,0.9222607576243227,0.9202982357804778,0.9222593585225527,-146.60430437313704,467.36323483233343,1.8137094919495775
0.24954954954954955,0.9211559995507441,0.9191931999864174,0.9211546000552542,-146.62496810685215,467.42927826982435,1.8147631638209445
0.24964964964964964,0.9200497747813232,0.9180866972455801,0.9200483748917059,-146.64565048819188,467.4953813548435,1.8158182346475593
0.24974974974974976,0.9189420794165514,0.9169787236578284,0.9189406791323972,-146.6663515637846,467.5615442367255,1.8168747081488537
0.24984984984984984,0.9178329095413473,0.9158692753074518,0.9178315088622464,-146.68707138040892,467.6277670651024,1.8179325880591115
0.24994994994994996,0.9167222612249751,0.9147583482630824,0.916720860150516,-146.70780998502119,467.694049990124,1.8189918781275507
0.25005005005005004,0.91561013052096,0.9136459385776109,0.9156087290507304,-146.72856742476642,467.7603931626376,1.820052582118399
0.25015015015015013,0.9144965134670032,0.9125320422881023,0.9144951116005902,-146.7493437469549,467.8267967339599,1.821114703810978
0.2502502502502503,0.913381406084899,0.9114166554157114,0.9133800038218882,-146.77013899908812,467.89326085601806,1.8221782469997827
0.25035035035035036,0.9122648043804504,0.9102997739655989,0.9122634017204263,-146.79095322883958,467.9597856814214,1.8232432154945604
0.25045045045045045,0.9111467043433796,0.9091813939268433,0.9111453012859259,-146.81178648409758,468.0263713632717,1.8243096131203964
0.25055055055055053,0.9100271019472447,0.9080615112723558,0.9100256984919439,-146.83263881287624,468.0930180552435,1.8253774437177948
0.2506506506506506,0.9089059931493507,0.9069401219587931,0.9089045892957847,-146.8535102634093,468.1597259115307,1.8264467111427602
0.25075075075075076,0.9077833738906638,0.9058172219264694,0.9077819696384125,-146.87440088411682,468.2264950870533,1.8275174192668842
0.25085085085085085,0.9066592400957231,0.9046928070992699,0.906657835444366,-146.89531072358574,468.2933257372701,1.8285895719774252
0.25095095095095094,0.9055335876725494,0.9035668733845584,0.9055321826216647,-146.91623983061163,468.360218018278,1.8296631731773976
0.2510510510510511,0.9044064125125574,0.9024394166730912,0.9044050070617224,-146.93718825414985,468.4271720866224,1.8307382267856553
